year,country,energy_consumption_twh,renewable_energy_twh,co2_emissions_mt,population_million
2000,India,450,50,970,1050.0
2000,China,1300,90,3400,1260.0
2000,United States,2400,380,5900,282.0
2000,Germany,550,120,820,82.0
2000,Brazil,380,220,410,174.0
2005,India,600,90,1200,1140.0
2005,China,1800,130,4500,1330.0
2005,United States,2550,420,6000,295.0
2005,Germany,520,150,760,82.4
2005,Brazil,410,260,380,186.0
2010,India,750,160,1500,1230.0
2010,China,2400,210,7600,1360.0
2010,United States,2600,520,5600,309.0
2010,Germany,500,200,720,81.7
2010,Brazil,450,310,360,195.0
2015,India,900,260,1900,1310.0
2015,China,2900,350,9000,1380.0
2015,United States,2700,620,5400,320.0
2015,Germany,480,260,680,82.5
2015,Brazil,480,390,350,204.0
2020,India,1100,380,2200,1380.0
2020,China,3100,520,10100,1400.0
2020,United States,2600,700,4800,331.0
2020,Germany,460,330,620,83.2
2020,Brazil,520,450,300,213.0
